SEP=,
gui.power.wheel_abilities_fire.tooltip_triple_fireball_uses_25_power_p,"Тройной огненный шар, расходует 35","Triple fireball, uses 35"
gui.power.wheel_abilities_sun.tooltip_sun_explosion_uses_45,"Солнечный взрыв, расходует 45","Sun explosion, uses 45"
item.power.filth_armor_chestplate,Нагрудник тёмного мастера скверны,Filth Chestplate
entity.power.example_master,Example Master,Example Master
item.power.gravity_stone,Камень гравитации,Gravity Stone
item.power.time_armor_leggings,Поножи мастера времени,Time Leggings
gui.power.wheel_abilities_mercury.tooltip_mercury_condition_uses_55,"Ртутное состояние, расходует 55","Mercury condition, uses 55"
item.power.teleportation_armor_chestplate,Нагрудник мастера телепортации,Teleportation Chestplate
block.power.amplifier_block,Блок амплифера,Amplifier Block
item.power.gravity_mace,Гравитационная булава,Gravity Mace
battery.desc.plants,Зелень,Plants
item.power.music_armor_leggings,Поножи мастера музыки,Music Leggings
gui.power.wheel_abilities_space.tooltip_meteorite_uses_45,"Метеорит, расходует 45","Meteorite, uses 45"
gui.power.wheel_abilities_mist.tooltip_misty_invisibility_uses_70,"Туманная невидимость, расходует 70","Misty invisibility, uses 70"
item.power.music_battery,Батарея,Battery
item.power.darkness_battery,Батарея,Battery
gui.power.keepers_box_gui_part_2.tooltip_mist,Туман,Mist
block.power.copyrium_ore,Копириумная руда,Copyrium Ore
item.power.golden_dust_stone,Камень золотой пыли,Golden Dust Stone
gui.power.wheel_abilities_plague.tooltip_plague_bomb_uses_40,"Чумная бомба, расходует 40","Plague bomb, uses 40"
item.power.energium_armor_leggings,Энергиумные поножи,Energium Leggings
item.power.music_armor_helmet,Шлем мастера музыки,Music Helmet
gui.power.keepers_box_gui_part_3.tooltip_mind,Разум,Mind
item.power.explosion_stone,Камень взрыва,Explosion Stone
item.power.crystal_armor_helmet,Шлем мастера кристалла,Crystal Helmet
gui.power.wheel_abilities_metal.tooltip_metal_skin_uses_80,"Металлическая кожа, расходует 80","Metal skin, uses 80"
gui.power.wheel_abilities_mind.tooltip_remote_control_uses_25,"Удаленный контроль, расходует 25","Remote control, uses 25"
gui.power.wheel_abilities_metal.tooltip_metal_knives_uses_30,"Металлические ножи, расходует 30","Metal knives, uses 30"
item.power.animals_stone,Камень животных,Animals Stone
item.power.light_battery,Батарея,Battery
item.minecraft.lingering_potion.effect.power_lock_potion,Туманное зелье блокировки силы,Lingering Potion of Power Lock
item.power.oceanic_trident,Океанический трезубец,Oceanic Trident
effect.power.tornado_master,Мастер торнадо,Master of Tornado
effect.power.warp,Искажение,Warp
item.keeper_book.name,Книга хранителя,The Keeper's Book
gui.power.wheel_abilities_moon.tooltip_moon_withering_uses_80,"Лунное иссушение, расходует 80","Moon withering, uses 80"
item.power.ether_armor_boots,Ботинки мастера эфира,Ether Boots
item.power.amplifier_ring,Амплиферовое кольцо,Amplifier Ring
effect.power.curse,Curse,Curse
subtitles.cursed_knight.attack,,
item.power.spirit_battery,Батарея,Battery
item.power.energium_axe,Энергиумный топор,Energium Axe
gui.power.wheel_abilities_smoke.tooltip_smoke_bomb_uses_35,"Дымовая шашка, расходует 35","Smoke bomb, uses 35"
gui.power.wheel_abilities_shadow.tooltip_shadow_sphere_uses_35,"Теневая сфера, расходует 35","Shadow sphere, uses 35"
gui.power.wheel_abilities_speed.tooltip_deceleration_uses_70,"Замедление, расходует 70","Deceleration, uses 70"
gui.power.wheel_abilities_moon.tooltip_moon_light_uses_15,"Лунный свет, расходует 15","Moon light, uses 15"
block.power.cursed_stone_cracked_bricks_stairs,Ступенки из проклятых потрескавшихся каменных кирпичей,Cursed Stone Cracked Bricks
gui.power.wheel_abilities_mind.tooltip_hypnosis_uses_80,"Гипноз, расходует 80","Hypnosis, uses 80"
item.power.plants_armor_boots,Ботинки мастера зелени,Plants Boots
item.power.sand_battery,Батарея,Battery
item.power.space_armor_leggings,Поножи мастера космоса,Space Leggings
item.power.metal_armor_leggings,Поножи мастера металла,Metal Leggings
effect.power.filth_dark_master,Т. Мастер Скверны,Dark Master of Filth
gui.power.keepers_box_gui_part_1.tooltip_gravity,Гравитация,Gravity
gui.power.wheel_abilities_earth.tooltip_stalagmite_piercinguses_35_powe,"Пронзание сталагмитом, расходует 40","Stalagmite piercing, uses 40"
gui.power.wheel_abilities_teleportation.tooltip_teleportation_grabs_uses_25,"Телепортационный захват, расходует 25","Teleportation grabs, uses 25"
subtitles.stone_activation,Камень был активирован,The stone has been activated
entity.power.spirit,Дух,Spirit
effect.power.horror_dark_master,Т. Мастер Хоррора,Dark Master of Horror
gui.power.wheel_abilities_mushrooms.tooltip_mushroom_saturation_uses_50,"Грибное насыщение, расходует 50","Mushroom saturation, uses 50"
item.power.music_guitar,Музыкальная гитара,Music Guitar
advancements.the_end_of_tyranny.descr,Победите энергиумного голема,Defeat the energium golem
item.power.ocean_battery,Батарея,Battery
entity.power.red_magnet,Black Hole,Red Magnet
effect.power.star_regeneration,Звёзд. регенерация,Star regeneration
item.power.mist_battery,Батарея,Battery
item.power.smoke_armor_chestplate,Нагрудник мастера дыма,Smoke Chestplate
item.power.crystal_armor_leggings,Поножи мастера кристалла,Crystal Leggings
item.power.cursed_knight_spawn_egg,Яйцо призыва проклятого рыцаря,Cursed Knight Spawn Egg
gui.power.wheel_abilities_amber.tooltip_sealing_in_amber_uses_80,"Запечатывание в янтаре, расходует 80","Sealing in amber, uses 80"
item.power.mist_armor_boots,Ботинки мастера тумана,Mist Boots
gui.power.wheel_abilities_shadow.tooltip_rising_shadow_uses_75,"Воплощение тени, расходует 75","Rising shadow, uses 75"
death.attack.energium_golem_ds.item,%1$s был убит Энергиумный голем,%1$s was killed by an Energium Golem
effect.power.power_lock,Блокировка силы,Power lock
gui.power.wheel_abilities_form.tooltip_miniaturization_uses_50,"Миниатюризация, расходует 50","Miniaturization, uses 50"
item.power.metal_armor_helmet,Щлем мастера металла,Metal Helmet
subtitles.time_ability_effect,Time power using,Time power using
subtitles.musket,Shoot from musket,Shoot from musket
item.minecraft.splash_potion.effect.star_regeneration_potion,Взрывное зелье звёздной регенерации,Splash Potion of Star Regeneration
item.power.plants_battery,Батарея,Battery
item.power.space_stone,Камень космоса,Space Stone
item.power.teleportation_stone,Камень телепортации,Teleportation Stone
gui.power.wheel_abilities_sand.tooltip_burial_uses_30,"Погребение, расходует 30","Burial, uses 30"
item.power.air_rapier,Воздушная рапира,Air Rapier
biome.power.cursed_forest,Проклятый лес,Cursed Forest
effect.power.lethality,Летальность,Lethality
gui.power.wheel_abilties_golden_dust.tooltip_random_power_uses_80,"Рандомная сила, расходует 80","Random power, uses 80"
item.power.light_armor_chestplate,Нагрудник мастера света,Light Chestplate
item.power.mist_armor_chestplate,Нагрудник мастера тумана,Mist Chestplate
item.power.energium_hoe,Энергиумная мотыга,Energium Hoe
trim_material.power.copyrium_material,Копириум,Copyrium
item.power.plants_armor_chestplate,Нагрудник мастера зелени,Plants Chestplate
gui.power.wheel_abilities_ocean.tooltip_oceanic_storm_uses_35,"Океанический шторм, расходует 35","Oceanic storm, uses 35"
item.power.empty_battery.description_0,§cНе заряжена,§cNot charged
item.power.amber_staff,Посох янтаря,Amber Staff
subtitles.electric_spark,Искра,Spark
gui.power.wheel_abilities_blue_flame.tooltip_electric_discharge_uses_75,"Электрический разряд, расходует 75","Electric discharge, uses 75"
item.power.cursed_squire_spawn_egg,Яйцо призыва проклятого оруженосца,Cursed Squire Spawn Egg
item.power.energium_sword,Энергиумный меч,Energium Sword
item.power.tornado_armor_chestplate,Нагрудник мастера торнадо,Tornado Chestplate
item.power.magnet_stone,Камень магнита,Magnet Stone
gui.power.keepers_box_gui_part_1.tooltip_rain,Дождь,Rain
gui.power.wheel_abilties_golden_dust.tooltip_golden_dust_regeneration_uses,"Регенерация золотой пыли, расходует 80","Golden dust regeneration, uses 80"
advancements.keepers_of_the_stones_2.title,Хранители Камней II,Keepers of the Stones II
item.power.moon_double_sided_spear,Двухстороннее лунное копьё,Moon Double-Sided Spear
gui.power.debug_info.label_debug_mode,DEBUG_MODE,DEBUG_MODE
block.power.raw_energium_block,Блок рудного энергиума,Block of Raw Energium
item.power.sound_armor_boots,Ботинки мастера звука,Sound Boots
item.power.empty_characteristics_card.description_0,§7Пустая,§7Empty
item.power.smoke_stone,Камень дыма,Smoke Stone
effect.power.air_master,Мастер воздуха,Master of the Air
item.power.blue_flame_sword,Меч синего пламени,Blue Flame Sword
effect.power.miniaturization,Миниатюризация,Miniaturization
item.power.raw_depleted_energium,Рудный обеднённый энергиум,Raw Depleted Energium
item.minecraft.potion.effect.power_lock_potion,Зелье блокировки силы,Potion of Power Lock
item.power.destruction_broadsword,Широкий меч разрушения,Destruction Broadsword
block.power.cursed_stone_bricks,Проклятые каменные кирпичи,Cursed Stone Bricks
item.power.gravity_armor_chestplate,Нагрудник мастера гравитации,Gravity Chestplate
death.attack.elemental_powers,%1$s был убит силой стихии,%1$s died by elemental power
item.power.music_stone,Камень музыки,Music Stone
gui.power.wheel_abilities_time.tooltip_stopping_time_uses_30,"Остановка времени, расходует 80","Stopping time, uses 80"
item.power.creation_shovel,Лопата созидания,Creation Shovel
item.power.sand_armor_chestplate,Нагрудник мастера песка,Sand Chestplate
death.attack.elemental_powers.player,%1$s погиб от силы стихий при попытке к бегству %2$s,%1$s died by elemental power whilst trying to escape %2$s
item.power.chaos_armor_leggings,Поножи тёмного мастера хаоса,Chaos Leggings
item.power.characteristics_card,Карточка характеристик,Characteristics Card
gui.power.wheel_abilities_rain.tooltip_rain_flying_uses_5,"Дождевой полёт, расходует 5","Rain flying, uses 5"
gui.power.wheel_ability_darkness.tooltip_darkness_ray_uses_15,"Луч тьмы, расходует 15","Darkness ray, uses 15"
advancements.super_charge.descr,Создайте и зарядите батарею,Create and charge the battery
item.power.moon_battery.description_0,§aЗаряжена элементом:,§aCharged with element:
item.power.moon_battery.description_1,§9Луна,§9Moon
item.power.metal_armor_boots,Ботинки мастера металла,Metal Boots
item.power.mushrooms_battery,Батарея,Battery
item.power.blood_sickle,Кровавый серп,Blood Sickle
item.power.ocean_armor_helmet,Шлем мастера океана,Ocean Helmet
block.power.purple_mushroom,Фиолетовый гриб,Purple Mushroom
item.power.mushrooms_armor_helmet,Шлем мастера грибов,Mushrooms Helmet
item.power.light_armor_helmet,Шлем мастера света,Light Helmet
advancements.become_like_an_adventurer.title,Стань искателем приключений,Become like an adventurer
gui.power.keepers_box_gui_part_4.tooltip_plants,Зелень,Plants
item.power.magnet_claws,Магнитные когти,Magnet Claws
entity.power.cursed_keeper,Проклятый хранитель,Cursed Keeper
gui.power.wheel_abilities_light.tooltip_light_ball_uses_35,"Световой шар, расходует 35","Light ball, uses 35"
effect.power.mist_master,Мастер тумана,Master of the Mist
item.power.sound_dagger,Звуковой кинжал,Sound Dagger
item.power.sand_armor_leggings,Поножи мастера песка,Sand Leggings
item.power.animals_battery.description_1,§9Животные,§9Animals
item.power.animals_battery.description_0,§aЗаряжена элементом:,§aCharged with element:
item.power.speed_battery,Батарея,Battery
item.power.blue_flame_battery.description_1,§9Синее пламя,§9Blue Flame
block.power.energium_block,Блок энергиума,Block of Energium
death.attack.elemental_powers.item,%1$s был убит %2$s используя силу стихии,%1$s was killed by %2$s using elemental power
gui.power.wheel_abilities_time.tooltip_time_dilation_uses_30,"Замедление времени, расходует 20","Time dilation, uses 20"
item.power.horror_armor_leggings,Поножи тёмного мастера хоррора,Horror Leggings
item.power.horror_armor_helmet,Шлем тёмного мастера хоррора,Horror Helmet
block.power.amber_block,Блок янтаря,Amber Block
item.power.spirit_armor_chestplate,Нагрудник мастера духа,Spirit Chestplate
effect.power.chaos_dark_master,Т. Мастер Хаоса,Dark Master of Chaos
item.power.blue_flame_battery.description_0,§aЗаряжена элементом:,§aCharged with element:
entity.power.cursed_knight,Проклятый рыцарь,Cursed Knight
gui.power.keepers_box_gui_part_3.tooltip_sun,Солнце,Sun
block.power.blue_portal,Синий портал,Blue Portal
item.power.air_armor_boots,Ботинки мастера воздуха,Air Boots
block.power.cursed_stone_bricks_slab,Плита из проклятых каменных кирпичей,Cursed Stone Bricks Slab
gui.power.wheel_abilities_gravity.tooltip_gravity_denial_uses_5,"Отрицание гравитации, расходует 5","Gravity denial, uses 5"
item.power.time_armor_boots,Ботинки мастера времени,Time Boots
item.power.keepers_book,Книга хранителя,Keeper's Book
gui.power.wheel_abilities_ether.tooltip_ethereal_aura_uses_80_power_poi,"Аура эфира, расходует 80","Ethereal aura, uses 80"
item.power.air_stone,Камень воздуха,Air Stone
item.power.sound_stone,Камень звука,Sound Stone
item.power.animals_armor_leggings,Поножи мастера животных,Animals Leggings
item.power.destruction_armor_chestplate,Нагрудник мастера разрушение,Destruction Chestplate
gui.power.wheel_abilities_energy.tooltip_energy_flux_uses_10,"Поток энергии, расходует 10","Energy flux, uses 10"
gui.power.wheel_abilities_magnet.tooltip_positive_charge_uses_30,"Положительный магнит, расходует 50","Positive magnet, uses 50"
item.power.form_battery.description_0,§aЗаряжена элементом:,§aCharged with element:
effect.power.sound_master,Мастер звука,Master of Sound
item.power.music_hope.desc,bxkqq - Hope,bxkqq - Hope
item.power.form_battery.description_1,§9Форма,§9Form
item.power.blood_battery.description_1,§9Кровь,§9Blood
gui.power.keepers_box_gui_part_2.tooltip_teleportation,Телепортация,Teleportation
item.power.blood_battery.description_0,§aЗаряжена элементом:,§aCharged with element:
item.power.moon_armor_chestplate,Нагрудник мастера луны,Moon Chestplate
item.power.raw_copyrium,Рудный копириум,Raw Copyrium
item.power.creation_armor_chestplate,Нагрудник мастера созидания,Creation Chestplate
effect.power.ocean_master,Мастер океана,Master of the Ocean
gui.power.wheel_abilities_sound.tooltip_sound_bomb_uses_30,"Звуковая бомба, расходует 30","Sound bomb, uses 30"
battery.desc.fire,Огонь,Fire
advancements.the_great_win.descr,Победите проклятого хранителя и освободите его от проклятия,Defeat the cursed keeper and free him from the curse
item.power.crystal_armor_boots,Ботинки мастера кристалла,Crystal Boots
effect.power.vacuum_master,Мастер пустоты,Master of Vacuum
item.power.tornado_battery.description_0,§aЗаряжена элементом:,§aCharged with element:
item.power.mercury_armor_chestplate,Нагрудник мастера ртути,Mercury Chestplate
item.power.tornado_battery.description_1,§9Торнадо,§9Tornado
item.power.freaking_parsnip,Чёртов пастернак,Freaking Parsnip
item.power.teleportation_armor_helmet,Шлем мастера телепортации,Teleportation Helmet
gui.power.wheel_abilities_animals.tooltip_wolf_pack_uses_60,"Волчья стая, расходует 80","Wolf pack, uses 80"
item.power.technology_armor_helmet,Шлем мастера технологий,Technology Helmet
item.power.destruction_armor_boots,Ботинки мастера разрушениеt,Destruction Boots
gui.power.wheel_abilities_destruction.tooltip_destruction_ball_uses_45,"Разрушительный шар, расходует 45","Destruction ball, uses 45"
item.power.space_armor_helmet,Шлем мастера космоса,Space Helmet
effect.power.darkness_master,Мастер Тьмы,Master of Darkness
advancements.keepers_of_the_stones_2.descr,Обновитесь до Хранители Камней II,Upgrade to Keepers of the Stones II
gui.power.wheel_abilities_ice.tooltip_freezing_ray_uses_10,"Замораживающий луч, расходует 10","Freezing ray, uses 10"
power.modinfo.update_cpapi,§eВерсия Colorful Powers API была обновлена до версии:,§eThe Colorful Powers API version has been updated to:
gui.power.keepers_box_gui_part_4.tooltip_plague,Чума,Plague
item.power.mist_battery.description_0,§aЗаряжена элементом:,§aCharged with element:
item.power.mist_battery.description_1,§9Туман,§9Mist
item.power.ice_armor_helmet,Шлем мастера льда,Ice Helmet
item.power.teleportation_battery.description_0,§aЗаряжена элементом:,§aCharged with element:
advancements.full_power_of_energium.descr,Оденьте полный сет энергиумной брони,Wear a full set of energium armor
item.power.spirit_stone,Камень духа,Spirit Stone
item.power.music_disc_ancient_mood.desc,bxkqq - Ancient Mood,bxkqq - Ancient Mood
item.power.teleportation_battery.description_1,§9Телепортация,§9Teleportation
gui.power.wheel_abilities_form.tooltip_warp_wave_uses_15,"Волна искажения, расходует 15","Warp wave, uses 15"
battery.desc.lightning,Молния,Lightning
item.power.raw_amplifier,Рудный амплифер,Raw Amplifier
gui.power.wheel_abilities_plants.tooltip_poisonous_thorn_uses_35,"Ядовитый шип, расходует 35","Poisonous thorn, uses 35"
effect.power.blood_master,Мастер крови,Master of Blood
advancements.lets_bail_this_place_isdead.descr,Найдите биом - проклятый лес,Find the biome - the cursed forest
block.power.cursed_stone_stairs,Ступеньки из проклятого камня,Cursed Stone Stairs
effect.power.stun,Оглушение,Stun
gui.power.wheel_abilities_sound.tooltip_sound_boom_uses_80,"Звуковой удар, расходует 80","Sound boom, uses 80"
item.power.chaos_armor_chestplate,Нагрудник тёмного мастера хаоса,Chaos Chestplate
item.power.explosion_battery,Батарея,Battery
gui.power.keepers_box_gui_part_2.tooltip_smoke,Дым,Smoke
item.power.water_battery,Батарея,Battery
gui.power.wheel_abilities_teleportation.tooltip_creatingdestructing_portals_us,"Создание/разрушение порталов, расходует 20","Creating/Destructing portals, uses 20"
gui.power.wheel_abilities_energy.tooltip_energy_charged_ball_uses_35,"Энергетический заряженный шар, расходует 35","Energy charged ball, uses 35"
item.power.thirst_armor_helmet,Шлем тёмного мастера жажды,Thirst Helmet
block.power.raw_depleted_energium_block,Блок рудного обеднённого энергиума,Block of Raw Depleted Energium
gui.power.keepers_box_gui_part_1.tooltip_lava,Лава,Lava
item.power.energy_battery,Батарея,Battery
effect.power.time_master,Мастер времени,Master of Time
item.power.fire_armor_chestplate,Нагрудник мастера огня,Fire Chestplate
advancements.what_is_this_metal.title,Это что за металл?,What is this metal?
gui.power.wheel_abilities_lightning.tooltip_electrical_discharges_uses_10,"Электрические разряды, расходует 10","Electrical discharges, uses 10"
item.power.shadow_battery,Батарея,Battery
gui.power.characteristics_card_gui.label_13,1,1
gui.power.characteristics_card_gui.label_12,1,1
gui.power.characteristics_card_gui.label_11,1,1
gui.power.wheel_abilities_explosion.tooltip_atomic_bomb_uses_100,"Ядерная бомба, расходует 100","Atomic bomb, uses 100"
gui.power.characteristics_card_gui.label_10,10,10
item.power.thirst_armor_chestplate,Нагрудник тёмного мастера жажды,Thirst Chestplate
item.power.lava_battery,Батарея,Battery
item.power.vacuum_stone,Камень пустоты,Vacuum Stone
item.power.energium_armor_boots,Энергиумные ботинки,Energium Boots
item.power.poison_stone,Камень яда,Poison Stone
effect.power.destruction_master,Мастер разрушения,Master of Destruction
item.power.poison_armor_boots,Ботинки мастера яда,Poison Boots
effect.power.immortality,Бессмертие,Immortality
gui.power.wheel_abilities_speed.tooltip_dash_uses_20,"Рывок, расходует 20","Dash, uses 20"
item.power.plague_armor_helmet,Шлем мастера чумы,Plague Helmet
item.power.metal_battery,Батарея,Battery
gui.power.keepers_box_gui_part_4.tooltip_earth,Земля,Earth
item.power.smoke_battery,Батарея,Battery
gui.power.wheel_abilities_lava.tooltip_lava_attack_uses_35,"Лавовая атака, расходует 35","Lava attack, uses 35"
effect.power.blue_magnet_power,Сила синего магнита,Blue Magnet Power
effect.power.plague_master,Мастер чумы,Master of the Plague
gui.power.wheel_abilities_spirit.tooltip_summon_spirit_uses_75,"Призыв духа, расходует 75","Summon spirit, uses 75"
item.power.ice_armor_boots,Ботинки мастера льда,Ice Boots
item.power.ice_battery.description_1,§9Лёд,§9Ice
item.power.ice_battery.description_0,§aЗаряжена элементом:,§aCharged with element:
item.power.darkness_battery.description_0,§aЗаряжена элементом:,§aCharged with element:
item.power.amber_stone,Камень янтаря,Amber Stone
item.power.darkness_battery.description_1,§9Тьма,§9Darkness
battery.desc.destruction,Разрушение,Destruction
battery.desc.magnet,Магнит,Magnet
item.power.smoke_battery.description_1,§9Дым,§9Smoke
effect.power.ether_master,Мастер эфира,Master of the Ether
item.power.time_armor_chestplate,Нагрудник мастера времени,Time Chestplate
item.power.smoke_battery.description_0,§aЗаряжена элементом:,§aCharged with element:
item.power.time_battery,Батарея,Battery
effect.power.gravity_master,Мастер гравитации,Master of Gravity
block.power.cursed_stone_cracked_bricks_slab,Плита из проклятых потрескавшихся каменных кирпичей,Cursed Stone Cracked Bricks Slab
item.power.blood_battery,Батарея,Battery
effect.power.sun_master,Мастер солнца,Master of the Sun
item.power.golden_dust_armor_helmet,Шлем мастера золотой пыли,Golden Dust Helmet
item.power.mind_armor_chestplate,Нагрудник мастера разума,Mind Chestplate
effect.power.lightning_master,Мастер молнии,Master of Lightning
block.power.deepslate_depleted_energium_ore,Обеднённый энергиумоносный глубинный сланец,Deepslate Depleted Energium Ore
item.power.water_stone,Камень воды,Water Stone
gui.power.wheel_abilities_plants.tooltip_cherry_wind_uses_10,"Вишнёвый ветер, расходует 10","Cherry wind, uses 10"
item.power.fire_armor_leggings,Поножи мастера огня,Fire Leggings
effect.power.energy_master,Мастер энергии,Master of Energy
subtitles.cursed_knight.hurt,,
gui.power.wheel_abilities_blue_flame.tooltip_sixshot_fireballs_uses_55,"Шестерной файрбол, расходует 55","Six-shot fireballs, uses 55"
item.power.shadow_stone,Камень тени,Shadow Stone
item.power.earth_armor_boots,Ботинки мастера земли,Earth Boots
gui.power.keepers_box_gui_part_1.tooltip_water,Вода,Water
effect.power.magnet_master,Мастер магнита,Magnet Master
item.power.spirit_sickle,Серп духа,Spirit Sickle
block.power.deepslate_copyrium_ore,Копириумоносный глубинный сланец,Deepslate Copyrium Ore
gui.power.wheel_abilities_destruction.tooltip_destruction_ray_uses_15,"Луч разрушения, расходует 15","Destruction ray, uses 15"
block.power.cursed_stone_pillar,Колонна из проклятого камня,Cursed Stone Pillar
item.power.lava_battery.description_1,§9Лава,§9Lava
effect.power.iron_skin,Железная кожа,Iron Skin
item.power.lava_battery.description_0,§aЗаряжена элементом:,§aCharged with element:
gui.power.wheel_abilities_music.tooltip_musical_relaxation_uses_75,"Музыкальная релаксация, расходует 75","Musical relaxation, uses 75"
item.power.mercury_battery.description_1,§9Ртуть,§9Mercury
item.power.mercury_battery.description_0,§aЗаряжена элементом:,§aCharged with element:
item.power.moon_armor_helmet,Шлем мастера луны,Moon Helmet
item.power.rain_armor_helmet,Шлем мастера дождя,Rain Helmet
item.power.water_armor_chestplate,Нагрудник мастера воды,Water Chestplate
item.power.lightning_stone,Камень молнии,Lightning Stone
item.power.blue_flame_stone,Камень синего пламени,Blue Flame Stone
item.power.mushrooms_stone,Камень грибов,Mushrooms Stone
gui.power.characteristics_card_gui.label_7,1,1
item.power.poison_armor_leggings,Поножи мастера яда,Poison Leggings
power.modinfo.outdated_mod,§9[Keepers of the Stones II]§r Этот мод устарел! (последняя версия: v,§9[Keepers of the Stones II]§r This mod is out of date! (latest version: v
item.power.ether_battery.description_0,§aЗаряжена элементом:,§aCharged with element:
item.power.sand_armor_helmet,Шлем мастера песка,Sand Helmet
gui.power.characteristics_card_gui.label_1,1,1
effect.power.smoke_intangibility,Дымовая неосязаемость,Smoke Intangibility
item.power.plants_battery.description_0,§aЗаряжена элементом:,§aCharged with element:
item.power.plants_battery.description_1,§9Зелень,§9Plants
gui.power.wheel_abilities_animals.tooltip_insect_attack_uses_10,"Атака насекомых, расходует 10","Insect attack, uses 10"
gui.power.keepers_box_gui_part_3.tooltip_vacuum,Пустота,Vacuum
effect.power.teleportation_master,Мастер телепортации,Master of Teleportation
gui.power.wheel_abilities_technology.tooltip_turret_uses_80,"Турель, расходует 80","Turret, uses 80"
item.power.lava_stone,Камень лавы,Lava Stone
item.power.speed_armor_boots,Ботинки мастера скорости,Speed Boots
gui.power.wheel_abilities_gravity.tooltip_telekinesis_uses_35,"Телекинез, расходует 35","Telekinesis, uses 35"
gui.power.wheel_abilities_explosion.tooltip_grenade_explosion_uses_20,"Взрыв гранаты, расходует 20","Grenade explosion, uses 20"
item.power.space_battery,Батарея,Battery
item.power.lightning_falchion,Молниеносный фальшион,Lightning Falchion
gui.power.wheel_abilities_fire.tooltip_flamethrower_uses_10_power_poin,"Огнемет, расходует 10","Flamethrower, uses 10"
item.power.plague_armor_leggings,Поножи мастера чумы,Plague Leggings
item.power.ether_battery.description_1,§9Эфир,§9Ether
gui.power.keepers_box_gui_part_4.tooltip_amber,Янтарь,Amber
gui.power.wheel_abilities_poison.tooltip_cleaning_uses_70,"Очищение, расходует 70","Cleaning, uses 70"
gui.power.wheel_abilities_explosion.tooltip_selfdetonation_uses_50,"Самоподрыв, расходует 50","Self-detonation, uses 50"
effect.power.music_master,Мастер музыки,Master of Music
advancements.become_a_master.descr,Получите камень стихии из волшебной шкатулки,Get the elemental stone from the magic box
advancements.unbreakable_diamond.title,Несокрушимый Алмаз,Unbreakable diamond
gui.power.keepers_box_gui_part_2.tooltip_speed,Скорость,Speed
item.power.music_hope,Пластинка,Music Disc
block.power.cursed_stone_cracked_bricks_wall,Ограда из проклятых потрескавшихся каменных кирпичей,Cursed Stone Cracked Bricks Wall
gui.power.keepers_box_gui_part_3.tooltip_golden_dust,Золотая пыль,Golden Dust
block.power.depleted_energium_block,Блок обеднённого энергиума,Block of Depleted Energium
item.power.amber_armor_leggings,Поножи мастера янтаря,Amber Leggings
item.power.mist_armor_helmet,Шлем мастера тумана,Mist Helmet
subtitles.cursed_squire.death,,
item.power.blood_armor_leggings,Поножи мастера крови,Blood Leggings
item.power.explosion_armor_leggings,Поножи мастера взрыва,Explosion Leggings
item.power.mercury_armor_boots,Ботинки мастера ртути,Mercury Boots
advancements.full_power_of_energium.title,Полная мощь энергиума,Full power of energium
key.power.ability_wheel_openingkey,Клавиша открытия колеса способностей,Ability wheel opening key
